Year,State,Vehicle_Category,Vehicle_Class,EV_Sales_Quantity
2015.0,Chhattisgarh,2-Wheelers,SCOOTER,80.0
2015.0,Chhattisgarh,3-Wheelers,RICKSHAW,0.0
2015.0,Chhattisgarh,4-Wheelers,CAR/CAB,2.0
2015.0,DNH and DD,2-Wheelers,SCOOTER,0.0
2015.0,DNH and DD,3-Wheelers,RICKSHAW,0.0
2015.0,DNH and DD,4-Wheelers,CAR/CAB,1.0
2015.0,Delhi,2-Wheelers,SCOOTER,20.0
2015.0,Delhi,3-Wheelers,RICKSHAW,3488.0
2015.0,Delhi,4-Wheelers,CAR/CAB,53.0
2015.0,Goa,2-Wheelers,SCOOTER,4.0
2015.0,Goa,3-Wheelers,RICKSHAW,0.0
2015.0,Goa,4-Wheelers,CAR/CAB,0.0
2015.0,Gujarat,2-Wheelers,SCOOTER,31.0
2015.0,Gujarat,3-Wheelers,RICKSHAW,5.0
2015.0,Gujarat,4-Wheelers,CAR/CAB,2.0
2015.0,Haryana,2-Wheelers,SCOOTER,8.0
2015.0,Haryana,3-Wheelers,RICKSHAW,38.0
2015.0,Haryana,4-Wheelers,CAR/CAB,2.0
2015.0,Himachal Pradesh,2-Wheelers,SCOOTER,3.0
2015.0,Himachal Pradesh,3-Wheelers,RICKSHAW,0.0
2015.0,Himachal Pradesh,4-Wheelers,CAR/CAB,0.0
2015.0,Jammu and Kashmir,2-Wheelers,SCOOTER,3.0
2015.0,Jammu and Kashmir,3-Wheelers,RICKSHAW,0.0
2015.0,Jammu and Kashmir,4-Wheelers,CAR/CAB,1.0
2015.0,Jharkhand,2-Wheelers,SCOOTER,3.0
2015.0,Jharkhand,3-Wheelers,RICKSHAW,191.0
2015.0,Jharkhand,4-Wheelers,CAR/CAB,0.0
2015.0,Karnataka,2-Wheelers,SCOOTER,97.0
2015.0,Karnataka,3-Wheelers,RICKSHAW,40.0
2015.0,Karnataka,4-Wheelers,CAR/CAB,515.0
2015.0,Kerala,2-Wheelers,SCOOTER,13.0
2015.0,Kerala,3-Wheelers,RICKSHAW,1.0
2015.0,Kerala,4-Wheelers,CAR/CAB,12.0
2015.0,Ladakh,2-Wheelers,SCOOTER,0.0
2015.0,Ladakh,4-Wheelers,CAR/CAB,0.0
2015.0,Madhya Pradesh,2-Wheelers,SCOOTER,39.0
2015.0,Madhya Pradesh,3-Wheelers,RICKSHAW,43.0
2015.0,Madhya Pradesh,4-Wheelers,CAR/CAB,1.0
2015.0,Maharashtra,2-Wheelers,SCOOTER,866.0
2015.0,Maharashtra,3-Wheelers,RICKSHAW,1.0
2015.0,Maharashtra,4-Wheelers,CAR/CAB,108.0
2015.0,Manipur,2-Wheelers,SCOOTER,0.0
2015.0,Manipur,3-Wheelers,RICKSHAW,0.0
2015.0,Manipur,4-Wheelers,CAR/CAB,0.0
2015.0,Meghalaya,2-Wheelers,SCOOTER,0.0
2015.0,Meghalaya,3-Wheelers,RICKSHAW,0.0
2015.0,Meghalaya,4-Wheelers,CAR/CAB,0.0
2015.0,Mizoram,2-Wheelers,SCOOTER,0.0
2015.0,Mizoram,3-Wheelers,RICKSHAW,0.0
2015.0,Mizoram,4-Wheelers,CAR/CAB,0.0
2015.0,Nagaland,2-Wheelers,SCOOTER,0.0
2015.0,Nagaland,3-Wheelers,RICKSHAW,0.0
2015.0,Nagaland,4-Wheelers,CAR/CAB,1.0
2015.0,Odisha,2-Wheelers,SCOOTER,5.0
2015.0,Odisha,3-Wheelers,RICKSHAW,7.0
2015.0,Odisha,4-Wheelers,CAR/CAB,4.0
2015.0,Puducherry,2-Wheelers,SCOOTER,9.0
2015.0,Puducherry,3-Wheelers,RICKSHAW,0.0
2015.0,Puducherry,4-Wheelers,CAR/CAB,1.0
2015.0,Punjab,2-Wheelers,SCOOTER,7.0
2015.0,Punjab,3-Wheelers,RICKSHAW,2.0
2015.0,Punjab,4-Wheelers,CAR/CAB,4.0
2015.0,Rajasthan,2-Wheelers,SCOOTER,46.0
2015.0,Rajasthan,3-Wheelers,RICKSHAW,625.0
2015.0,Rajasthan,4-Wheelers,CAR/CAB,3.0
2015.0,Sikkim,2-Wheelers,SCOOTER,0.0
2015.0,Sikkim,4-Wheelers,CAR/CAB,2.0
2015.0,Tamil Nadu,2-Wheelers,SCOOTER,12.0
2015.0,Tamil Nadu,3-Wheelers,RICKSHAW,0.0
2015.0,Tamil Nadu,4-Wheelers,CAR/CAB,25.0
2015.0,Tripura,2-Wheelers,SCOOTER,0.0
2015.0,Tripura,3-Wheelers,RICKSHAW,0.0
2015.0,Tripura,4-Wheelers,CAR/CAB,0.0
2015.0,Uttar Pradesh,2-Wheelers,SCOOTER,82.0
2015.0,Uttar Pradesh,3-Wheelers,RICKSHAW,924.0
2015.0,Uttar Pradesh,4-Wheelers,CAR/CAB,1.0
2015.0,Uttarakhand,2-Wheelers,SCOOTER,13.0
2015.0,Uttarakhand,3-Wheelers,RICKSHAW,1.0
2015.0,Uttarakhand,4-Wheelers,CAR/CAB,0.0
2015.0,West Bengal,2-Wheelers,SCOOTER,0.0
2015.0,West Bengal,3-Wheelers,RICKSHAW,10.0
2015.0,West Bengal,4-Wheelers,CAR/CAB,17.0
2016.0,Andaman & Nicobar Island,2-Wheelers,SCOOTER,0.0
